Semana,Temporada,Volumen_hm3
40,2,3380.020289395122
40,3,2694.4612709387434
40,4,2169.3933699709046
40,5,1626.5002763358261
41,1,3374.6150686033584
41,2,3306.799535207846
41,3,2622.8615656179973
41,4,2152.8693736978325
41,5,1562.573031315536
42,1,3306.7538059802187
42,2,3233.0874422714414
42,3,2573.8079164848
42,4,2086.071941109146
42,5,1494.7509918808548
43,1,3267.666657641818
43,2,3163.5834712791548
43,3,2523.8609936724615
43,4,2009.7962609247609
43,5,1422.481340776308
44,1,3196.224076664938
44,2,3092.4664269253767
44,3,2446.9618007538556
44,4,1958.1517674081524
44,5,1369.9507451473535
45,1,3182.6297513929676
45,2,3021.4487995243608
45,3,2379.88041094113
45,4,1890.2892074772708
45,5,1338.0206252613818
46,1,3111.9564274093373
46,2,2951.919128298644
46,3,2295.7015999009054
46,4,1806.6579953420423
46,5,1293.785305421136
47,1,3065.7046091167044
47,2,2865.4841069051545
47,3,2211.6622904234628
47,4,1762.7526276102935
47,5,1242.868120064183
48,1,2986.198574111535
48,2,2787.5507044537035
48,3,2129.970372374831
48,4,1685.9175467647628
48,5,1200.0
