Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s,Incumplimiento
1,1,21,4,33.48,111.9643,0.0,-0.0
1,1,21,5,33.48,80.78253288602697,0.0,-0.0
1,1,22,1,33.48,267.23526766681437,1000.0,-0.0
1,1,22,2,33.48,168.63675936293694,0.0,-0.0
1,1,22,3,33.48,164.13480997293337,0.0,-0.0
1,1,22,4,33.48,162.13439761876285,0.0,-0.0
1,1,22,5,33.48,164.13478097293333,0.0,-0.0
1,1,23,1,33.48,0.0,1000.0,-0.0
1,1,23,2,33.48,174.69837789033892,0.0,-0.0
1,1,23,3,33.48,33.47999999999945,0.0,-0.0
1,1,23,4,33.48,168.19949928147264,0.0,-0.0
1,1,23,5,33.48,33.479999999999436,0.0,-0.0
1,1,24,1,33.48,117.05705116681419,0.0,-0.0
1,1,24,2,33.48,68.57191399999999,0.0,-0.0
1,1,24,3,33.48,68.57191399999999,0.0,-0.0
1,1,24,4,33.48,33.47999999999968,0.0,-0.0
1,1,24,5,33.48,33.47999999999945,0.0,-0.0
1,1,25,1,33.48,33.47999999999999,0.0,-0.0
1,1,25,2,33.48,33.47999999999997,0.0,-0.0
1,1,25,3,33.48,33.47999999999999,0.0,-0.0
1,1,25,4,33.48,33.47999999999999,0.0,-0.0
1,1,25,5,33.48,33.47999999999999,0.0,-0.0
1,1,26,1,33.48,33.47999999999999,0.0,-0.0
1,1,26,2,33.48,33.47999999999999,0.0,-0.0
1,1,26,3,33.48,33.47999999999999,0.0,-0.0
1,1,26,4,33.48,33.48,0.0,-0.0
1,1,26,5,33.48,33.47999999999999,0.0,-0.0
1,1,27,1,33.48,33.47999999999999,0.0,-0.0
1,1,27,2,33.48,33.47999999999999,0.0,-0.0
1,1,27,3,33.48,33.47999999999999,0.0,-0.0
1,1,27,4,33.48,33.47999999999999,0.0,-0.0
1,1,27,5,33.48,33.47999999999999,0.0,-0.0
1,1,28,1,33.48,33.47999999999999,0.0,-0.0
1,1,28,2,33.48,33.47999999999999,0.0,-0.0
1,1,28,3,33.48,33.47999999999999,0.0,-0.0
1,1,28,4,33.48,33.47999999999999,0.0,-0.0
1,1,28,5,33.48,33.47999999999999,0.0,-0.0
1,1,29,1,33.48,33.47999999999999,0.0,-0.0
1,1,29,2,33.48,33.47999999999999,0.0,-0.0
1,1,29,3,33.48,33.47999999999999,0.0,-0.0
1,1,29,4,33.48,33.47999999999999,0.0,-0.0
1,1,29,5,33.48,33.47999999999999,0.0,-0.0
1,1,30,1,33.48,33.47999999999999,0.0,-0.0
1,1,30,2,33.48,33.47999999999999,0.0,-0.0
1,1,30,3,33.48,33.47999999999999,0.0,-0.0
1,1,30,4,33.48,33.47999999999999,0.0,-0.0
1,1,30,5,33.48,33.47999999999999,0.0,-0.0
1,1,31,1,33.48,0.0,1000.0,-0.0
1,1,31,2,33.48,33.47999999999999,0.0,-0.0
1,1,31,3,33.48,33.47999999999999,0.0,-0.0
1,1,31,4,33.48,33.48,0.0,-0.0
1,1,31,5,33.48,33.47999999999999,0.0,-0.0
1,1,32,1,33.48,0.0,1000.0,-0.0
1,1,32,2,33.48,33.47999999999999,0.0,-0.0
1,1,32,3,33.48,33.47999999999999,0.0,-0.0
1,1,32,4,33.48,33.479999999999734,0.0,-0.0
1,1,32,5,33.48,33.47999999999999,0.0,-0.0
1,1,33,1,33.48,33.47999999999999,0.0,-0.0
1,1,33,2,33.48,33.47999999999999,0.0,-0.0
1,1,33,3,33.48,33.47999999999999,0.0,-0.0
1,1,33,4,33.48,33.48,0.0,-0.0
1,1,33,5,33.48,33.480000000000004,0.0,-0.0
1,1,34,1,33.48,33.47999999999999,0.0,-0.0
1,1,34,2,33.48,33.47999999999999,0.0,-0.0
1,1,34,3,33.48,33.47999999999999,0.0,-0.0
1,1,34,4,33.48,33.47999999999985,0.0,-0.0
1,1,34,5,33.48,33.47999999999999,0.0,-0.0
1,1,35,1,33.48,33.47999999999999,0.0,-0.0
1,1,35,2,33.48,33.48,0.0,-0.0
1,1,35,3,33.48,33.48,0.0,-0.0
1,1,35,4,33.48,33.48,0.0,-0.0
1,1,35,5,33.48,33.48,0.0,-0.0
1,1,36,1,33.48,33.47999999999999,0.0,-0.0
1,1,36,2,33.48,33.48,0.0,-0.0
1,1,36,3,33.48,33.47999999999999,0.0,-0.0
1,1,36,4,33.48,33.480000000000004,0.0,-0.0
1,1,36,5,33.48,33.48,0.0,-0.0
1,1,37,1,33.48,33.47999999999999,0.0,-0.0
1,1,37,2,33.48,33.48,0.0,-0.0
1,1,37,3,33.48,33.48,0.0,-0.0
1,1,37,4,33.48,33.48,0.0,-0.0
1,1,37,5,33.48,33.48,0.0,-0.0
1,1,38,1,33.48,33.48,0.0,-0.0
1,1,38,2,33.48,33.48,0.0,-0.0
1,1,38,3,33.48,33.48,0.0,-0.0
1,1,38,4,33.48,33.47999999999999,0.0,-0.0
1,1,38,5,33.48,33.48,0.0,-0.0
1,1,39,1,33.48,33.47999999999976,0.0,-0.0
1,1,39,2,33.48,33.47999999999999,0.0,-0.0
1,1,39,3,33.48,33.479999999999336,0.0,-0.0
1,1,39,4,33.48,33.47999999999999,0.0,-0.0
1,1,39,5,33.48,33.479999999999706,0.0,-0.0
1,1,40,1,33.48,33.48,0.0,-0.0
1,1,40,2,33.48,33.47999999999942,0.0,-0.0
1,1,40,3,33.48,33.48,0.0,-0.0
1,1,40,4,33.48,33.47999999999945,0.0,-0.0
1,1,40,5,33.48,33.47999999999999,0.0,-0.0
1,1,41,1,33.48,33.48,0.0,-0.0
1,1,41,2,33.48,33.48,0.0,-0.0
1,1,41,3,33.48,33.48,0.0,-0.0
1,1,41,4,33.48,33.47999999999999,0.0,-0.0
1,1,41,5,33.48,33.47999999999999,0.0,-0.0
1,1,42,1,33.48,33.479999999999734,0.0,-0.0
1,1,42,2,33.48,33.48,0.0,-0.0
1,1,42,3,33.48,33.48,0.0,-0.0
