Uso,Semana,Temporada,Caudal_m3s
2,36,1,0.0
2,36,2,0.0
2,36,3,12.86952889531512
2,36,4,12.59604286610525
2,36,5,7.3690500752421215
2,36,6,8.307887235047282
2,37,1,0.0
2,37,2,0.0
2,37,3,68.55835891519585
2,37,4,67.80656439228503
2,37,5,0.0
2,37,6,0.0
2,38,1,0.0
2,38,2,0.0
2,38,3,68.98198684432236
2,38,4,68.86214341372991
2,38,5,67.57954847429775
2,38,6,66.8961459401398
2,39,1,0.0
2,39,2,67.89738044797623
2,39,3,70.3259515138977
2,39,4,66.06129722016442
2,39,5,68.15275128775808
2,39,6,68.09663664515851
2,40,1,0.0
2,40,2,67.69091539152164
2,40,3,0.0
2,40,4,70.0952090134848
2,40,5,68.06250358448253
2,40,6,68.35300921996662
2,41,1,0.0
2,41,2,0.0
2,41,3,67.39485769829321
2,41,4,68.83739551451248
2,41,5,68.14234203512312
2,41,6,0.0
2,42,1,0.0
2,42,2,0.0
2,42,3,67.88125259934678
2,42,4,68.37744062454193
2,42,5,67.50381445252779
2,42,6,0.0
2,43,1,0.0
2,43,2,0.0
2,43,3,67.14712212558933
2,43,4,66.68000069818089
2,43,5,63.93026684132816
2,43,6,68.80741890968974
2,44,1,0.0
2,44,2,0.0
2,44,3,67.18355241043426
2,44,4,0.0
2,44,5,66.6276943581878
2,44,6,68.31029465633858
2,45,1,0.0
2,45,2,68.68256617269492
2,45,3,69.18949706925616
2,45,4,67.71868143953532
2,45,5,67.26280502367638
2,45,6,67.5952351933035
2,46,1,0.0
2,46,2,68.31265941506481
2,46,3,66.60764869635582
2,46,4,66.71486328639068
2,46,5,67.96996547371862
2,46,6,68.92652662479036
2,47,1,0.0
2,47,2,68.33862081385206
2,47,3,68.03806761750855
2,47,4,66.45345138063678
2,47,5,0.0
2,47,6,68.33947575506257
2,48,1,0.0
2,48,2,68.17599736879905
2,48,3,66.90006503353337
2,48,4,66.59981332118177
2,48,5,66.66361336272843
2,48,6,69.53746147901663
