Uso,Semana,Temporada,Volumen_hm3
2,44,6,888.1018485225948
2,45,1,278.2839469919322
2,45,2,750.0649184916167
2,45,3,620.4584266639962
2,45,4,766.1170191732039
2,45,5,807.3211161174463
2,45,6,847.2202502776848
2,46,1,278.2839469919322
2,46,2,702.8472083039239
2,46,3,574.4192198850751
2,46,4,720.0037056696506
2,46,5,760.340275982012
2,46,6,799.5782350746298
2,47,1,278.2839469919322
2,47,2,655.6115535973894
2,47,3,527.3913075478532
2,47,4,674.0710800753544
2,47,5,760.340275982012
2,47,6,752.3419894327305
2,48,1,278.2839469919322
2,48,2,608.4883042160754
2,48,3,481.14998259667493
2,48,4,628.0372891077536
2,48,5,714.2623864256941
2,48,6,704.2776960584342
